Date,Time,Temperature (Celsius)
02/25/2017,03:42:26.079,29.87
02/25/2017,03:42:56.128,29.39
02/25/2017,03:43:26.230,29.03
02/25/2017,03:43:56.294,28.9
02/25/2017,03:44:26.362,28.82
02/25/2017,03:44:56.466,28.84
02/25/2017,03:45:26.560,28.84
02/25/2017,03:45:56.621,28.9
02/25/2017,03:46:26.689,28.86
02/25/2017,03:46:56.798,28.84
02/25/2017,03:47:26.872,28.81
02/25/2017,03:47:56.920,28.72
02/25/2017,03:48:27.244,28.65
02/25/2017,03:48:57.319,28.65
02/25/2017,03:49:27.392,28.63
02/25/2017,03:49:57.486,28.63
02/25/2017,03:50:27.567,28.56
02/25/2017,03:50:57.667,28.54
02/25/2017,03:51:27.830,28.44
02/25/2017,03:51:57.825,28.51
02/25/2017,03:52:27.946,28.56
02/25/2017,03:52:57.962,28.65
02/25/2017,03:53:28.032,28.56
02/25/2017,03:53:58.141,28.56
02/25/2017,03:54:28.230,28.51
02/25/2017,03:54:58.335,28.48
02/25/2017,03:55:28.406,28.48
02/25/2017,03:55:58.451,28.48
02/25/2017,03:56:28.595,28.46
02/25/2017,03:56:58.624,28.42
02/25/2017,03:57:28.735,28.4
02/25/2017,03:57:58.795,28.29
02/25/2017,03:58:28.883,28.3
02/25/2017,03:58:58.963,28.32
02/25/2017,03:59:29.069,28.37
02/25/2017,03:59:59.106,28.42
