Date,Time,Brightness (LUX)
02/25/2017,09:57:18.197,0
02/25/2017,09:57:18.710,0
02/25/2017,09:57:19.212,0
02/25/2017,09:57:19.708,0
02/25/2017,09:57:20.228,0
02/25/2017,09:57:20.697,0
02/25/2017,09:57:21.220,0
02/25/2017,09:57:21.699,0
02/25/2017,09:57:22.193,0
02/25/2017,09:57:22.705,0
02/25/2017,09:57:23.236,0
02/25/2017,09:57:23.729,0
02/25/2017,09:57:24.210,0
02/25/2017,09:57:24.714,0
02/25/2017,09:57:25.175,0
02/25/2017,09:57:25.668,0
02/25/2017,09:57:26.195,0
02/25/2017,09:57:26.689,0
02/25/2017,09:57:27.200,0
02/25/2017,09:57:27.727,0
02/25/2017,09:57:28.204,0
02/25/2017,09:57:28.703,0
02/25/2017,09:57:29.201,0
02/25/2017,09:57:29.697,0
02/25/2017,09:57:30.210,0
02/25/2017,09:57:30.667,0
02/25/2017,09:57:31.198,0
02/25/2017,09:57:31.688,0
02/25/2017,09:57:32.191,0
02/25/2017,09:57:32.677,0
02/25/2017,09:57:33.181,0
02/25/2017,09:57:33.692,0
02/25/2017,09:57:34.180,0
02/25/2017,09:57:34.682,0
02/25/2017,09:57:35.181,0
02/25/2017,09:57:35.702,0
02/25/2017,09:57:36.208,0
02/25/2017,09:57:36.706,0
02/25/2017,09:57:37.213,0
02/25/2017,09:57:37.671,0
02/25/2017,09:57:38.169,0
02/25/2017,09:57:38.698,0
02/25/2017,09:57:39.193,0
02/25/2017,09:57:39.712,0
02/25/2017,09:57:40.191,0
02/25/2017,09:57:40.690,0
02/25/2017,09:57:41.192,0
02/25/2017,09:57:41.710,0
02/25/2017,09:57:42.211,0
02/25/2017,09:57:42.693,0
02/25/2017,09:57:43.199,0
02/25/2017,09:57:43.712,0
02/25/2017,09:57:44.197,0
02/25/2017,09:57:44.725,0
02/25/2017,09:57:45.219,0
02/25/2017,09:57:45.697,0
02/25/2017,09:57:46.202,17
02/25/2017,09:57:46.705,10
02/25/2017,09:57:47.205,12
02/25/2017,09:57:47.722,9
02/25/2017,09:57:48.238,3
02/25/2017,09:57:48.710,3
02/25/2017,09:57:49.201,9
02/25/2017,09:57:49.706,10
02/25/2017,09:57:50.219,10
02/25/2017,09:57:50.712,7
02/25/2017,09:57:51.218,7
02/25/2017,09:57:51.699,7
02/25/2017,09:57:52.214,10
02/25/2017,09:57:52.708,13
02/25/2017,09:57:53.185,0
02/25/2017,09:57:53.679,0
02/25/2017,09:57:54.194,0
02/25/2017,09:57:54.707,0
02/25/2017,09:57:55.205,0
02/25/2017,09:57:55.714,0
02/25/2017,09:57:56.174,0
02/25/2017,09:57:56.691,0
02/25/2017,09:57:57.171,0
02/25/2017,09:57:57.682,0
02/25/2017,09:57:58.172,0
02/25/2017,09:57:58.674,0
02/25/2017,09:57:59.180,0
02/25/2017,09:57:59.694,0
02/25/2017,09:58:00.196,0
02/25/2017,09:58:00.714,0
02/25/2017,09:58:01.226,0
02/25/2017,09:58:01.673,0
02/25/2017,09:58:02.175,0
02/25/2017,09:58:02.679,0
02/25/2017,09:58:03.181,0
02/25/2017,09:58:03.686,0
02/25/2017,09:58:04.202,0
02/25/2017,09:58:04.721,0
02/25/2017,09:58:05.203,0
02/25/2017,09:58:05.702,0
02/25/2017,09:58:06.215,0
02/25/2017,09:58:06.723,0
02/25/2017,09:58:07.221,0
02/25/2017,09:58:07.688,0
02/25/2017,09:58:08.218,0
02/25/2017,09:58:08.713,0
02/25/2017,09:58:09.221,0
02/25/2017,09:58:09.709,0
02/25/2017,09:58:10.180,0
02/25/2017,09:58:10.731,0
